Fold,MAE,MSE,RMSE,User
4,0.4556893709478644,0.32558296202975884,0.5705987749984737,AS14.19
4,3.8752519948771478,25.639390722090962,5.063535397535102,AS14.20
4,0.860416666666665,1.0735763888888856,1.036135313986009,AS14.23
4,2.0804529344863205,6.029379404986489,2.455479465397031,AS14.24
4,0.843891484853834,1.1302232577664215,1.0631195877070563,AS14.25
4,0.7241804884025168,0.7097403277503525,0.8424608760947612,AS14.26
4,0.6497841869645286,0.7001319672327141,0.8367388883234208,AS14.27
4,0.5270106609730653,0.39765614398454424,0.6305998287222605,AS14.28
4,0.717782820514581,0.6748411978843748,0.821487186683015,AS14.29
4,0.3003373429675607,0.14284895301474643,0.3779536387108165,AS14.30
4,0.410929043673734,0.2358286449124135,0.4856219156014414,AS14.31
4,0.3716168321872459,0.23527460389680163,0.48505113534224575,AS14.33
