"AS14.12.time" "AS14.12.activity" "AS14.12.appCat.builtin" "AS14.12.appCat.communication" "AS14.12.appCat.entertainment" "AS14.12.appCat.finance" "AS14.12.appCat.game" "AS14.12.appCat.office" "AS14.12.appCat.other" "AS14.12.appCat.social" "AS14.12.appCat.travel" "AS14.12.appCat.unknown" "AS14.12.appCat.utilities" "AS14.12.appCat.weather" "AS14.12.call" "AS14.12.circumplex.arousal" "AS14.12.circumplex.valence" "AS14.12.mood" "AS14.12.screen" "AS14.12.sms"
2014-04-14 0.0874241857760053 8.19288383838384 29.3734864864865 87.9491052631579 7.36033333333333 NA NA 14.9042 71.7217555555556 NA NA 5.0545 NA 1 -0.4 0.8 6.6 76.0613980524748 NA
2014-04-15 0.120050497134935 9.84355230125523 42.3990980392157 55.4596 6.72033333333333 NA 43.3915 8.89066666666667 52.9941166666667 NA NA 5.128 NA 1 0.2 1 6.8 57.0081349157152 NA
2014-04-16 0.198099232603957 11.5530843373494 45.4261041666667 99.0051 NA NA NA 12.5968 55.4163333333333 32.283 NA NA NA 1 0 1 7 46.2683092292986 1
2014-04-17 0.131061636000759 5.68582564102564 44.06325 144.673333333333 16.5893333333333 NA 31.27275 9.962 75.2728461538462 20.1586923076923 NA 5.022 NA 1 -0.6 0.8 6.8 63.5058934395431 NA
2014-04-18 0.0799791231487769 6.12966923076923 26.3128333333333 29.5623846153846 4.632 NA NA 10.8596 62.98826 29.759875 NA 4.026 NA NA -0.6 0.8 6.6 64.1790543405906 NA
2014-04-19 0.167165225680305 138.425529411765 41.8265294117647 53.8759375 NA NA NA 11.9966 55.9686136363636 31.0086666666667 NA NA NA 1 0.4 0.4 5.8 51.2606831067045 1
2014-04-20 0.220267265494874 14.202897810219 46.536125 69.6540526315789 NA 110.0828 27.49 10.2642 62.1536081081081 17.2234 NA 2.38066666666667 NA NA 0.4 1 6.4 87.6283313936966 NA
2014-04-21 0.0702309086923999 10.1061382113821 37.1236071428571 55.4905 NA 61.195 NA 11.3775 75.21164 20.81275 NA 3.038 NA 1 -0.25 0.75 6 69.2183442545719 NA
2014-04-22 0.164627064873201 8.22783660130719 48.8734461538462 164.825971428571 11.7176666666667 NA NA 11.6278 72.3447638888889 31.0755454545455 NA 4.156 NA 1 0.25 1 6.5 110.521433736905 NA
2014-04-23 0.11449388733474 6.81174731182796 28.7453157894737 26.120375 NA NA 44.187 7.9852 72.8263255813954 32.06275 NA NA NA 1 0 0.8 5.8 52.5351869079554 NA
2014-04-24 0.0852228001377536 16.4792105263158 17.0165882352941 43.8758235294118 18.2215 NA 20.51725 8.2688 62.1512333333333 65.9855 NA NA NA 1 -0.6 0.6 6.6 66.0438666502635 NA
2014-04-25 0.13467870198927 12.2109941520468 23.2703181818182 48.6945 26.09 NA NA 9.2496 79.6141739130435 65.1811666666667 NA 9.10575 44.409 1 0.2 0.2 5.6 43.5235045940504 1
2014-04-26 0.332577105751128 7.20277941176471 24.43625 67.4284 NA NA NA 8.493 84.4646666666667 42.3131666666667 NA NA 22.066 1 0.25 1 7 42.2940864121472 NA
2014-04-27 0.19347949106486 6.38198319327731 29.529 89.215 NA NA 15.093 13.5306 128.847076923077 68.31995 NA NA 86.672 1 0 0.75 6 66.6996578856518 NA
2014-04-28 0.0853976874322089 14.3789632352941 37.01805 75.6122 21.063 NA NA 8.8878 86.18665 32.09975 NA NA NA 1 -0.6 1 6.6 61.2199076982645 1
2014-04-29 0.0791976372917132 11.8712191011236 26.97434375 71.9878 NA NA 57.1433333333333 9.7408 85.9940930232558 NA NA NA NA 1 -0.4 NA 6 63.390510417521 NA
2014-04-30 0.121993192530006 9.71819653179191 56.08175 52.21915 NA NA 36.22 7.3086 102.4207 25.0695263157895 NA 4.11 NA 1 -0.25 NA 6.25 59.6228446566943 NA
2014-05-01 0.0955700386338233 7.49361855670103 47.369347826087 106.315222222222 16.6953461538462 90.8055 14.2814 10.0733333333333 117.9375625 15.8307777777778 NA 2.524 NA NA -0.2 NA 6.2 112.076187503834 1
2014-05-02 0.130999543250289 13.115565 68.0351621621622 110.2326 22.6486363636364 NA 9.3405 9.0026 102.912693877551 24.5935 NA 4.063 NA 1 0 0.5 5.5 167.943490189664 NA
2014-05-03 0.085140097498809 14.0170845771144 35.6134444444444 33.8667857142857 17.3836666666667 NA 35.1745 9.5386 59.6148648648649 1.026 NA 7.558 NA 1 -0.4 0.2 5.6 44.274455297284 1
2014-05-04 0.114598722699528 24.4618914728682 89.03925 50.10888 NA NA NA 8.8382 149.632580645161 NA NA NA NA NA -0.8 -0.2 4.8 108.755811615267 NA
2014-05-05 0.0320418552036199 14.305829787234 145.653285714286 67.8465 NA NA NA 12.047 51.7579 NA NA NA NA 1 0 NA 6 35.1018461630895 NA
