,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,amusement,system
20,7.8,-0.2,1.2,0.19026514823987345,0.16470078700118593,0.1335992013888889,0.0,0.002429328703703704,0.0,0.4,0.0027621990740740745,0.01699234953703704
21,7.6,0.6,1.0,0.3092114046758542,0.10249398147066432,0.09728159722222217,0.00017440972222222223,0.0011890046296296297,0.0,0.1,0.0,0.0033014699074074075
22,6.8,0.6,1.2,0.4687077628254098,0.0409881944347311,0.024845729166666653,0.0,0.0043415625,0.0,0.1,0.0,0.010000856481481479
23,6.8,0.6,1.0,0.09549919484702096,0.08824557871178337,0.06500297453703703,0.0026939467592592596,0.0039608217592592585,0.0,1.0,0.0014402199074074074,0.004550092592592592
24,6.6,0.2,0.8,0.1513406794183811,0.09498082175298977,0.08851324074074074,0.0,0.0018114699074074077,0.0,0.2,0.0,0.0016928124999999999
25,6.8,-0.6,1.0,0.26101854320329393,0.05720527777241337,0.05428016203703702,0.0,0.0024788310185185182,0.0,0.0,0.0,0.004358391203703704
26,6.0,-0.8,0.2,0.3699345550700973,0.0994376967736968,0.07551431712962967,0.0,0.0020695486111111114,0.0,0.3,0.0,0.028612685185185196
27,6.0,-0.25,0.75,0.33828282828282824,0.07102684025963148,0.05788349537037036,0.0010564236111111113,0.003219513888888889,0.0,0.2,0.0,0.006579479166666669
28,6.4,-1.2,1.0,0.04141105260380633,0.13476078704827366,0.10884568287037034,0.0007732175925925926,0.003708368055555556,0.0,0.3,0.0008537731481481482,0.003329756944444444
29,3.5,-1.0,-1.0,0.1181818181818182,0.011781273153093125,0.00801821759259259,0.0,0.0007703935185185185,0.0,0.0,0.0,0.0005795254629629631
30,7.2,-0.6,1.0,0.2408505917967651,0.10430031251024315,0.07419081018518515,0.0013803240740740744,0.0022315277777777776,0.0001789699074074074,0.1,0.004407939814814815,0.017138668981481482
31,6.6,-1.6,0.6,0.2621848739495798,0.033745428251999394,0.06303425925925928,0.0001740162037037037,0.0020350347222222224,0.0,0.0,0.00013252314814814813,0.00020484953703703697
32,7.4,-1.4,1.0,0.15710176822377514,0.11880486111122145,0.10073783564814817,0.0,0.001615648148148148,0.0005063194444444444,0.0,0.0,0.0030313541666666674
33,5.75,-1.25,0.75,0.2710352653846367,0.0849507523245282,0.06198562500000001,0.0,0.00573292824074074,0.0,0.1,0.0,0.017816180555555554
34,7.4,-0.8,1.0,0.4385733488177098,0.045402465280559336,0.031249143518518513,0.0,0.007089560185185187,0.0008216319444444442,0.5,0.0,0.006041620370370369
35,7.666666666666668,1.0,1.0,0.4378101065601063,0.15928774307447452,0.03238023148148148,0.0,0.005712268518518519,0.0,0.2,0.0,0.006712025462962961
36,7.75,-0.25,1.25,0.4405688439574525,0.06540093749209683,0.03048660879629629,0.0,0.019396608796296302,0.0,0.0,0.0,0.010514965277777774
37,8.8,-1.8,1.6,0.16949476650563594,0.0854091087894307,0.0651942476851852,0.0,0.004825300925925926,0.0026177662037037033,0.0,0.0,0.0015557754629629628
38,8.0,-0.5,1.5,0.2649346728151076,0.15856973378746592,0.11832241898148149,0.00019019675925925926,0.009494606481481484,0.003190497685185185,0.0,0.0,0.00973988425925926
39,8.166666666666666,-1.6666666666666667,1.0,0.2987684400223101,0.09112810185110123,0.070942025462963,0.00018892361111111112,0.0063115740740740745,0.0019179976851851851,0.0,0.0,0.005613900462962963
40,8.5,-1.25,1.25,0.325002877061394,0.09280295139385591,0.07813476851851849,0.00017543981481481482,0.002148935185185185,0.005743240740740741,0.0,0.0,0.00464486111111111
41,7.833333333333332,-1.1666666666666667,1.0,0.29367141217445164,0.0852385879749501,0.07271221064814813,0.0013706597222222221,0.007777187500000002,0.0028069675925925927,0.0,0.0,0.0011007060185185184
42,8.333333333333334,-1.0,2.0,0.14677763080540854,0.07455349536129724,0.05884465277777778,0.0011347569444444447,0.0048541782407407405,0.003112337962962963,0.0,0.0,0.0018407291666666665
43,8.0,-1.4,0.8,0.22384322876155907,0.09451968749364222,0.0735421990740741,0.000782939814814815,0.005823437499999999,0.0028235648148148148,0.0,0.0,0.012030127314814815
