,mood,arousal,valence,activity,screen,communication,finance,social,gsm,amusement,system
18,6.2,-0.2,0.8,0.14407060344630326,0.057169444447866216,0.019444849537037037,0.00023224537037037037,0.0034939583333333333,0.42105263157894735,0.02565068287037037,0.007852743055555552
19,7.0,0.0,1.0,0.08748917748917752,0.0023421875001103775,0.0027739120370370374,0.0,0.00023266203703703703,0.05263157894736842,0.0016438078703703703,0.0011459490740740742
20,6.75,-0.6666666666666666,1.0,0.19987749808992267,0.018586157403058464,0.005848460648148148,0.0,0.0014336574074074074,0.0,0.0016749537037037039,0.0051198032407407425
21,7.0,-0.2,1.0,0.0864168979340117,0.02562508102092474,0.004722395833333333,0.0005240625,0.0013886226851851852,0.05263157894736842,0.0005937268518518519,0.0025694444444444445
22,6.4,0.5,0.6666666666666666,0.03989680082559341,8.420138999267858e-05,0.0,0.0,0.0,0.47368421052631576,0.0,0.00010695601851851852
23,7.2,-0.5,1.0,0.24015661939870084,0.03694006944420165,0.00010528935185185187,0.00012792824074074074,0.0,0.05263157894736842,0.0,0.0007787268518518518
24,6.6,0.2,1.0,0.1293886382716278,0.012612453707390364,0.0038329513888888888,0.0010150231481481481,0.002573553240740741,0.21052631578947367,0.0031948495370370373,0.0018162384259259262
25,7.0,1.0,1.0,0.03957364341085266,0.004153738421974355,0.004876481481481482,0.0,0.0012695833333333333,0.0,0.0,0.0011567129629629627
26,7.0,1.25,1.0,0.0,0.00022489583326710649,0.0,0.0,0.0,0.21052631578947367,0.0,0.00022476851851851854
27,6.4,0.0,0.5,0.045454545454545504,0.0013000115752220156,3.483796296296296e-05,0.0,0.0005361458333333334,0.15789473684210525,0.0,0.0006584143518518519
28,7.0,0.8,1.0,0.0341435185185185,0.0023430208365122465,0.0009487152777777777,0.0,6.606481481481479e-05,0.21052631578947367,0.0,0.001990289351851851
29,6.6,0.6,0.5,0.05,4.7847222950723385e-05,0.0006151388888888889,0.0,0.00040701388888888883,0.15789473684210525,0.0,0.0014107175925925928
30,7.25,1.25,1.0,0.137976645191724,0.008164664360660096,0.003677037037037036,0.0,0.0010477083333333334,0.3157894736842105,0.0,0.003294780092592591
31,7.0,-0.6,1.0,0.14644478187042834,0.0051586689800024,0.0017862384259259264,0.0011853009259259258,0.00016364583333333335,0.15789473684210525,0.0,0.0018680092592592587
32,6.8,0.0,1.0,0.009735044072393464,0.024643634248662893,0.006681111111111112,0.0,0.0021697800925925925,0.21052631578947367,0.012941458333333329,0.0028383564814814816
33,7.2,1.6,1.0,0.1840579710144928,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0
34,7.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
35,7.25,1.0,1.0,0.009197324414715692,0.00855621527466509,0.0055704398148148145,0.0,0.00038564814814814815,0.0,0.0007236689814814815,0.004209409722222223
36,6.6,0.8,0.8,0.05494394283401094,0.010518414339533549,0.008578680555555555,0.0,0.001165625,0.05263157894736842,0.0023660648148148148,0.0019451388888888886
37,7.25,0.75,1.0,0.08201415701415696,0.015031770832008788,0.009578576388888886,0.001619560185185185,0.00020861111111111113,0.2631578947368421,0.0,0.0036590277777777775
38,5.4,-0.2,-0.2,0.013731060606060613,0.013769791667108183,0.002944571759259259,0.0,0.0,0.21052631578947367,0.0039937268518518525,0.0008206597222222222
39,7.2,0.6,1.0,0.08522727272727262,0.003862210644616027,0.00022086805555555553,0.0,0.00025984953703703706,1.0,0.0,0.002117546296296296
40,6.75,0.5,1.0,0.3549107142857143,0.0006428587960976145,0.0005736805555555556,0.0,0.0,0.15789473684210525,0.0,1.0578703703703704e-05
41,7.2,-0.2,1.0,0.1217670011148272,0.003109606476845566,0.002172349537037037,0.0,0.0,0.10526315789473684,0.0,0.0009345949074074076
42,8.0,1.0,1.0,0.18809523809523804,0.0024234375026490926,0.00018123842592592595,0.0,0.001945763888888889,0.47368421052631576,0.0,0.0002910300925925926
43,7.0,-0.5,1.0,0.03592650103519668,0.014878576392376861,0.008344687500000001,0.001535497685185185,0.000743252314814815,0.5789473684210527,0.004866909722222222,0.005404513888888888
44,7.0,0.4,1.0,0.03966646529954715,0.008527245375293277,0.004999525462962961,0.0,0.0,0.15789473684210525,0.0005307407407407408,0.0002983449074074074
45,7.0,0.0,1.0,0.1044532627865961,0.0014534143524037454,0.0002211226851851852,0.0,0.0,0.47368421052631576,0.0,0.0012303472222222223
46,8.0,2.0,1.0,0.10067570888004324,0.010757662046838696,0.004713217592592593,0.0,0.0016104745370370368,0.10526315789473684,0.0010922916666666665,0.0018918287037037037
