,mood,arousal,valence,activity,screen,communication,office,social,travel,weather,gsm,amusement,system
13,7.0,-1.0,0.4,0.020425724637681147,0.06134890045556758,0.010263645833333331,0.0,0.03521465277777778,0.0,0.0,0.09090909090909091,0.006170833333333333,0.008802511574074072
14,6.2,-0.6,0.0,0.19494720965309195,0.07185520832737294,0.03978443287037037,0.0,0.026329467592592592,0.00043343749999999996,0.0,0.2727272727272727,0.006729421296296294,0.0046630324074074065
15,6.6,-0.2,0.0,0.17494855967078193,0.09351310183880508,0.04573094907407409,0.002000196759259259,0.017511157407407406,4.6412037037037034e-05,0.0,0.45454545454545453,0.025756504629629647,0.029009560185185183
16,7.4,0.4,0.8,0.10309597523219814,0.11215008101805495,0.048551967592592594,0.005483993055555555,0.04215653935185187,0.0028659259259259263,1.1655092592592594e-05,0.09090909090909091,0.030767349537037025,0.01840199074074074
17,7.6,-0.2,0.8,0.22428424516659812,0.08741153935039488,0.04043431712962963,0.0,0.03625372685185185,0.010310115740740741,0.00030252314814814817,0.45454545454545453,0.010833194444444437,0.00898505787037037
18,7.8,-0.2,1.0,0.20591670956453667,0.078895393513419,0.03400831018518517,0.0010432407407407408,0.03733876157407408,0.0011657407407407406,0.0,0.0,0.07358804398148151,0.0005603935185185186
19,8.2,0.4,1.0,0.2339122315592904,0.04868150463810672,0.007897534722222222,0.0,0.013257777777777778,0.0008204513888888887,0.0001861226851851852,0.0,0.022420868055555564,0.002982118055555555
20,6.5,-1.5,0.25,0.34474153297682714,0.0886566550946898,0.046891006944444445,0.0,0.024888449074074077,0.004687372685185185,0.0,0.18181818181818182,0.008220162037037031,0.014231284722222228
21,7.25,-0.25,0.75,0.17874293785310735,0.05166069443579071,0.023181886574074082,0.00034067129629629633,0.008118900462962965,0.0,0.0,0.18181818181818182,0.006610451388888886,0.012885798611111112
22,7.0,-0.4,0.6,0.20056360708534607,0.07801134259060578,0.04479461805555557,0.0008292361111111111,0.03242193287037038,0.0002106712962962963,0.00013953703703703703,0.5454545454545454,0.012385104166666657,0.017237222222222227
23,7.6,0.0,0.4,0.14506508485747238,0.18436972220738732,0.07605623842592596,0.00021412037037037038,0.04180164351851852,0.0009332291666666666,0.0,0.09090909090909091,0.02817643518518518,0.022172187500000003
24,6.8,0.2,0.6,0.15167069243156198,0.14273966436308846,0.0518816087962963,0.0034489814814814817,0.03196363425925926,0.00043171296296296295,0.0,0.09090909090909091,0.03737984953703707,0.007198773148148146
25,6.25,-1.0,0.5,0.14621547543748678,0.0816232986251513,0.040217094907407394,0.00011657407407407409,0.010572488425925926,0.003841782407407407,0.0,0.2727272727272727,0.023818298611111118,0.008271666666666663
26,6.8,0.2,0.6,0.09826388888888894,0.06059003473156029,0.03565508101851852,0.0,0.002186574074074074,0.001345162037037037,0.0,0.36363636363636365,0.01375524305555555,0.00690824074074074
