mood,arousal,valence,activity,screen,communication,finance,office,social,travel,gsm,amusement,system
6.5,0.3333333333333333,0.6666666666666666,0.10191661063822344,0.2472049884249767,0.08009439814814812,0.002867789351851852,0.0010472337962962963,0.039685092592592605,0.0,0.36363636363636365,0.015548333333333327,0.0457837962962963
6.4,-1.2,0.0,0.04923847270844107,0.24770642361983106,0.1671074305555555,0.0008823379629629629,0.0,0.0365074189814815,0.0002208564814814815,0.36363636363636365,0.014972581018518519,0.028984212962962972
6.2,0.2,0.4,0.12668931120732582,0.143280219907562,0.06344476851851853,0.0,0.0,0.024145798611111113,0.0018314930555555556,0.2727272727272727,0.01788457175925926,0.02414954861111111
6.8,-0.4,0.6,0.11900230220344547,0.03866239583326711,0.021821863425925923,0.0,0.0,0.004203796296296297,0.002175289351851852,0.0,0.000883900462962963,0.17683039351851845
6.5,-0.75,0.5,0.06440779944246812,0.08642733796051252,0.03883961805555557,0.0,0.0,0.0037206018518518504,0.0,0.36363636363636365,0.003490972222222222,0.05318184027777778
6.5,-0.6666666666666666,0.25,0.050670621174317886,0.1139627430532817,0.08512748842592593,0.0005338888888888889,0.00019799768518518517,0.017076597222222222,0.0006973032407407407,0.09090909090909091,0.005175011574074074,0.013115601851851847
6.6,-0.4,0.3333333333333333,0.07532705826134849,0.17478162039209294,0.10969390046296296,0.00022142361111111112,0.0,0.03073056712962963,0.0,0.09090909090909091,0.04012128472222221,0.010750370370370368
7.4,-0.8,1.0,0.12038411453232875,0.156924641215139,0.07149393518518515,0.0,0.0,0.03271238425925927,0.0,0.36363636363636365,0.010888541666666666,0.025647870370370376
7.4,-0.4,0.8,0.07896310519489108,0.10759373841738261,0.0564978125,0.0,0.00026846064814814815,0.01359626157407408,0.0,0.6363636363636364,0.02152722222222223,0.01265094907407407
7.0,-1.2,0.8,0.07998620207306051,0.12183849537262212,0.038617962962962986,0.0010890393518518519,0.0,0.006907488425925926,0.00039622685185185187,0.0,0.022871967592592593,0.0414777662037037
7.25,-0.75,0.75,0.07224906147031818,0.13600473380751074,0.07633197916666665,0.0,0.0,0.003060555555555556,5.822916666666668e-05,0.0,0.02530650462962963,0.0075791435185185154
8.0,-1.25,1.0,0.014021328954370723,0.023214710639030852,0.01269438657407407,0.0009538541666666667,0.0,0.00039932870370370366,0.0,0.0,0.0028864814814814816,0.0051784143518518524
7.2,-1.2,0.6,0.08388731446988419,0.20816490739859916,0.07507273148148151,0.0010338310185185188,0.0,0.03381927083333333,0.00033685185185185196,0.18181818181818182,0.07251800925925926,0.022541608796296297
