mood,arousal,valence,activity,screen,communication,social,travel,weather,gsm,amusement,system
6.8,0.0,0.2,0.07812500000000007,0.04119456018838617,0.018968356481481482,0.009774050925925922,0.002334479166666667,0.0011223726851851852,0.1111111111111111,0.0012105671296296296,0.0071504050925925945
7.8,-1.0,0.8,0.09700046685340802,0.053804131947733716,0.01691479166666667,0.008678749999999997,0.012795069444444444,0.0,0.6111111111111112,0.004920196759259258,0.0097522337962963
8.0,0.0,0.8,0.07138142791551877,0.03389108796362522,0.01421806712962963,0.009390891203703705,0.0009273726851851852,0.0,0.05555555555555555,0.003115,0.0055007175925925935
7.6,0.6,0.6,0.08724323062558355,0.04587370369169447,0.020352708333333327,0.007432824074074072,0.0037531481481481487,0.0,0.3333333333333333,0.00139,0.015389456018518525
7.6,1.2,0.6,0.13997140522875814,0.04252902777382621,0.017948090277777776,0.006755300925925926,0.0,0.0003560300925925926,0.2222222222222222,0.0019105439814814814,0.0105533912037037
9.333333333333334,0.6666666666666666,1.6666666666666667,0.3618055555555556,0.058008726854567184,0.01865833333333333,0.005570196759259259,0.007914432870370369,0.000698738425925926,1.0,0.0,0.023322280092592594
8.0,0.4,0.8,0.12519226354453622,0.08470128473308351,0.042874351851851865,0.027971875,0.0009224999999999999,0.0,0.2777777777777778,0.0004904976851851853,0.013848275462962958
7.8,0.2,0.8,0.13159722222222214,0.05730569442665138,0.014579560185185187,0.020501817129629635,0.008815416666666662,0.0,0.2222222222222222,0.0013600000000000003,0.009490879629629632
7.2,-1.2,0.4,0.08749999999999998,0.04383071760612505,0.010888055555555557,0.020235451388888895,0.0,0.0,0.16666666666666666,0.002049155092592593,0.009479803240740735
6.6,1.2,0.4,0.0889128352490421,0.08304342593859747,0.03559401620370372,0.028019456018518508,0.0,0.0,0.05555555555555555,0.004731145833333333,0.014175034722222228
7.6,0.4,0.8,0.1123922413793103,0.055810694451685315,0.025859212962962962,0.008608206018518515,0.0036308333333333336,0.0,0.05555555555555555,0.006345011574074075,0.010735381944444441
7.2,-1.0,0.6,0.11944444444444445,0.040967349520436055,0.02128101851851852,0.006187210648148148,0.0,0.0,0.05555555555555555,0.002968206018518518,0.009464826388888884
6.4,1.2,0.0,0.09062499999999996,0.05759746526402456,0.039443113425925914,0.005612349537037037,0.002476574074074074,0.0,0.1111111111111111,0.0,0.009403576388888885
7.4,-0.2,0.6,0.08654003267973857,0.06823049768529559,0.03144401620370371,0.025723564814814817,0.0,0.0,0.0,0.0006049305555555557,0.02760354166666666
7.666666666666668,0.0,0.6666666666666666,0.16432475726422502,0.07023026618692607,0.0297675925925926,0.013452557870370365,0.0,0.0,0.0,0.0015568865740740738,0.013875081018518524
